Votes,UnemploymentRate2015,PovertyAllAgesPct2014,DeepPovAll,AgeTotalPop,MaleRate,FemaleRate,TurnoutRate,Democrat,State,County,Education,Religion,Old,Young,Adult,EthnicMale,EthnicFemale,NomalizePopulation,NomalizeMedHHInc2014,NomalizePerCapitaInc,NomalizeToalArea,NomalizePopDensity
3996,0.08,0.256,0.06522251001,8182.0,0.498777805,0.501222195,0.00488389147,0,28,009,high school diploma,Christian Generic,0.12160840900000001,0.238572476,0.5673429489999999,White,White,-0.2859506471585404,-1.3625001118193216,-0.7592490377634723,-0.20906750081977138,-0.1395323761512837
12831,0.079,0.34,0.1443087536,33322.0,0.468069144,0.531930856,0.00385060921,1,28,011,college,Christian Generic,0.09006062100000001,0.290018607,0.572174539,Black,Black,-0.20468799533770063,-1.4756037873023324,-1.2973868432365334,-0.07911013495957597,-0.1293863863935791
6339,0.063,0.25,0.1005621058,14717.0,0.48026092299999995,0.519739077,0.00430726371,0,28,013,high school diploma,Christian Generic,0.12278317600000001,0.265747095,0.557042875,White,White,-0.2660218578604882,-1.1577890734451004,-1.1653080402635168,-0.16219690268957115,-0.13721329277809408
5470,0.084,0.179,0.09932991723,10243.0,0.510690227,0.48930977299999995,0.005340232350000001,0,28,015,high school diploma,Christian Generic,0.143512643,0.211363857,0.569462072,White,White,-0.27997808524473305,-0.7379495529021699,-0.7222389083779391,-0.1500080900700227,-0.14219932203045177
7890,0.078,0.247,0.08863209761,17328.0,0.48430286200000006,0.5156971379999999,0.0045533241000000006,0,28,017,high school diploma,Christian Generic,0.10728301000000001,0.281105724,0.5666551249999999,White,White,-0.2582524116878159,-1.2838732146085445,-1.2826529528650414,-0.18407821309880135,-0.13187940101975795
4020,0.062,0.242,0.1164765834,8299.0,0.48367273200000005,0.516327268,0.0048439571,0,28,019,high school diploma,Christian Generic,0.134112543,0.253765513,0.555729606,White,White,-0.2865325562957529,-1.0414609510733195,-1.1758322476717253,-0.20613727157968692,-0.14017012407891083
2954,0.129,0.426,0.20418966100000002,9150.0,0.472240437,0.5277595629999999,0.0032284152999999998,1,28,021,college,Christian Generic,0.096721311,0.281092896,0.573770492,Black,Black,-0.28315300707578805,-1.7413312821871254,-2.1224847040400796,-0.18487546547902056,-0.14057596366921904
7713,0.08,0.22399999999999998,0.1194539249,16006.0,0.470948394,0.529051606,0.00481881794,0,28,023,high school diploma,Christian Generic,0.12651505700000001,0.24334624500000002,0.563351244,White,White,-0.26036263163594914,-1.0115314696955053,-0.9609630130874685,-0.1346015145650648,-0.13796699487438072
9960,0.096,0.284,0.146643461,20048.0,0.469872306,0.530127694,0.00496807662,1,28,025,high school diploma,Christian Generic,0.11228052599999999,0.261372705,0.570480845,Black,Black,-0.2478867555183493,-1.0918119294133442,-0.9236020767883283,-0.20714363933832433,-0.12283497586431841
8912,0.10300000000000001,0.35,0.19543634910000002,24620.0,0.46165718899999997,0.538342811,0.0036198212799999994,1,28,027,college,Christian Generic,0.091064175,0.317506094,0.55312754,Black,Black,-0.2302472351337265,-1.5293445687818332,-1.439112836333741,-0.16345420890231036,-0.12457428839421063
11906,0.073,0.26,0.1366554354,28773.0,0.483508845,0.516491155,0.00413790707,1,28,029,college,Christian Generic,0.105063775,0.27536232,0.5692837030000001,Black,Black,-0.21970252999896375,-0.9781295070528617,-1.0281425370431994,-0.11213990898072425,-0.13002413432120624
8790,0.059000000000000004,0.265,0.09938017605,19543.0,0.48764263399999996,0.512357366,0.00449777414,0,28,031,high school diploma,Christian Generic,0.117740368,0.274113495,0.558358492,White,White,-0.25129508046487964,-1.2657667051562203,-1.2856348116307006,-0.20742594509918882,-0.12457428839421063
64022,0.049,0.10099999999999999,0.03737325959,173323.0,0.484003854,0.515996146,0.0036937971299999994,0,28,033,college,Christian Generic,0.077110367,0.282703392,0.5888947219999999,White,White,0.20171159094619467,0.9371092667511919,0.2684398156480873,-0.1859707072734857,0.04437093534265332
27284,0.064,0.264,0.1384072511,75944.0,0.475705783,0.524294217,0.00359264721,0,28,035,college,Christian Generic,0.087801538,0.27281944599999997,0.602062045,White,White,-0.07427320524011509,-0.8546083877753631,-0.6994364589934874,-0.19297084456603356,-0.05882827476428486
4219,0.078,0.205,0.05317521041,7743.0,0.48844117299999995,0.511558827,0.005448792460000001,0,28,037,high school diploma,Christian Generic,0.126565931,0.261913988,0.555340307,White,White,-0.28790419926203953,-0.8764354128685757,-0.4856196451500514,-0.1677384602176524,-0.14364874913869527
9831,0.076,0.17,0.100996559,23373.0,0.504128696,0.495871304,0.0042061352799999995,0,28,039,high school diploma,Christian Generic,0.09421127,0.28301886800000003,0.570230609,White,White,-0.2416711985802114,-0.19293535057467925,-0.540871734043146,-0.18946293409306894,-0.12463226547854038
5325,0.079,0.23600000000000002,0.04097472924,13522.0,0.5738796039999999,0.426120396,0.0039380269200000005,0,28,041,high school diploma,Christian Generic,0.0904452,0.22533649,0.6338559389999999,White,White,-0.2678187421193532,-0.622530889909273,-1.5147117262160388,-0.12802222197158347,-0.14028607824757033
10442,0.061,0.248,0.07624371682,21578.0,0.475206229,0.524793771,0.00483918806,0,28,043,college,Christian Generic,0.11303179299999999,0.26272129,0.569839652,White,White,-0.24381978616376523,-1.1157059076403837,-0.6084020649124838,-0.1984156862315964,-0.12190734251504257
17517,0.066,0.198,0.09552205472000001,46420.0,0.49254631600000004,0.507453684,0.00377358897,0,28,045,college,Catholic,0.11479965600000001,0.23606204199999997,0.5845325290000001,White,White,-0.17340558325810132,-0.07081975942818294,-0.22602252908090853,-0.1714659418379561,-0.09825269210850843
62076,0.061,0.188,0.09615435794999999,201410.0,0.494265429,0.505734571,0.0030820713999999997,0,28,047,college,Catholic,0.088933021,0.27475299100000006,0.594166128,White,White,0.2843714641569348,-0.507194905041729,-0.32249443032281977,-0.0607210513699291,0.03700784563277627
91536,0.061,0.23600000000000002,0.1128199532,242891.0,0.467431893,0.532568107,0.0037686040200000004,1,28,049,college,Christian Generic,0.081559218,0.28503732,0.592327423,Black,Black,0.470390549887831,-0.7185201934441966,-0.555254817501031,-0.0865677121424136,0.011497928527690434
7045,0.121,0.44,0.22897094169999999,18340.0,0.475736096,0.524263904,0.0038413304299999996,1,28,051,high school diploma,Christian Generic,0.095310797,0.316139587,0.556924754,Black,Black,-0.2524780825570149,-2.025992067777773,-2.1309040699666464,-0.11601899925038112,-0.1372712698624238
3599,0.129,0.40299999999999997,0.1446689113,8669.0,0.468912216,0.531087784,0.00415157458,1,28,053,less than high school diploma,Christian Generic,0.09758911099999999,0.314569153,0.553927787,Black,Black,-0.28388518945173125,-1.7844065854960791,-1.951290930199888,-0.20316521926391884,-0.13901058239231603
699,0.16899999999999998,0.395,0.1608040201,1337.0,0.5774121170000001,0.422587883,0.00522812266,1,28,055,less than high school diploma,Christian Generic,0.106207927,0.181750187,0.6738967849999999,Black,Black,-0.30936449667396415,-0.8307970876736765,-1.6688913647462933,-0.20049899818908729,-0.15002622841496674
9634,0.057999999999999996,0.172,0.05600214362000001,23609.0,0.49019441700000005,0.509805583,0.00408064721,0,28,057,college,Christian Generic,0.123131009,0.25498750400000003,0.5679613699999999,White,White,-0.2390398182509483,-0.7257958684752674,-0.8462491523379959,-0.1746157422253796,-0.1265455092614218
45465,0.07200000000000001,0.156,0.07481992602,141425.0,0.49064875399999996,0.509351246,0.00321477815,0,28,059,college,Christian Generic,0.095117553,0.260215662,0.5917199929999999,White,White,0.1327010040363345,0.07221339743264213,0.017437468962314667,-0.04314751775611299,-0.03998572235711918
8468,0.079,0.22699999999999998,0.107732145,16569.0,0.48838191799999997,0.511618082,0.00511074899,1,28,061,high school diploma,Christian Generic,0.124449272,0.26000362,0.561228802,Black,Black,-0.2593075216618825,-1.0025195540320198,-0.9935880560529148,-0.13879950578680936,-0.1373872240310833
3859,0.149,0.385,0.10335664339999999,7507.0,0.492473691,0.507526309,0.0051405355,1,28,063,high school diploma,Christian Generic,0.09870787299999999,0.251098973,0.6001065670000001,Black,Black,-0.2891575420191126,-1.7144608914473751,-2.024960382057347,-0.17806353202704903,-0.14335886371704656
6237,0.087,0.298,0.14973531639999998,11665.0,0.47646806700000005,0.523531933,0.00534676382,1,28,065,high school diploma,Christian Generic,0.130904416,0.23977711000000002,0.567938277,Black,Black,-0.2739351826659879,-1.5604315439145906,-1.4524434990508053,-0.20893941765049026,-0.13425646147727732
28250,0.061,0.244,0.11420253320000001,68215.0,0.485670307,0.514329693,0.004141317889999999,0,28,067,college,Christian Generic,0.104537125,0.287033643,0.559085245,White,White,-0.09720745931278128,-0.8083913157029924,-0.7699486486284843,-0.1329860982667845,-0.09546979206068087
4639,0.10400000000000001,0.282,0.1254100963,9969.0,0.503059484,0.496940516,0.00465342562,1,28,069,college,Christian Generic,0.119470358,0.24997492300000002,0.573477782,Black,Black,-0.28042890496092515,-1.1682065172395881,-1.618199765730089,-0.11539165311512664,-0.1441125658133332
19642,0.055,0.259,0.1576099011,53154.0,0.48622869399999996,0.513771306,0.00369530045,0,28,071,bachelor or higher,Christian Generic,0.074519321,0.265078829,0.6220228,White,White,-0.16246441255732566,-0.5248053457419346,-0.39020016464896107,-0.13834467983874985,-0.1085146360348725
24179,0.049,0.142,0.07266658554,60618.0,0.480665809,0.519334191,0.003988749220000001,0,28,073,bachelor or higher,Christian Generic,0.07576957299999999,0.27914151,0.6048203510000001,White,White,-0.13590441693741237,0.35092135799786833,0.39122223541051976,-0.18507673903074803,-0.0870631148328685
28967,0.067,0.217,0.07829349566,78524.0,0.48279506899999997,0.517204931,0.0036889358700000004,0,28,075,college,Christian Generic,0.105509143,0.26660638699999994,0.5775559069999999,White,White,-0.05724117241631853,-0.6842087714226691,-0.41984334884874835,-0.12895017146331406,-0.08584559606194395
6329,0.07400000000000001,0.223,0.08601298907,12622.0,0.494057994,0.505942006,0.00501426081,0,28,077,high school diploma,Christian Generic,0.10885755,0.27032165999999996,0.5728093790000001,White,White,-0.27252197476132894,-0.7171146653131942,-0.6799666752883017,-0.2019784894913958,-0.13460432398325575
8436,0.063,0.271,0.1075534399,22763.0,0.513596626,0.486403374,0.00370601415,0,28,079,high school diploma,Christian Generic,0.099767165,0.287132628,0.55533102,White,White,-0.23774810785845463,-1.2323647425135769,-1.2075802733531542,-0.16284516036266747,-0.12834279887564376
31974,0.055999999999999994,0.19399999999999998,0.07081792421000001,85300.0,0.47887456,0.52112544,0.00374841735,0,28,081,college,Christian Generic,0.097502931,0.278323563,0.5756740899999999,White,White,-0.04877151689722014,-0.3117438167070524,-0.2747846900722746,-0.1974302300108008,-0.04514568286246608
9566,0.109,0.401,0.22026197979999998,30999.0,0.481789735,0.518210265,0.003085906,1,28,083,high school diploma,Christian Generic,0.08784154300000001,0.305945353,0.57137327,Black,Black,-0.21053266513343935,-1.7118978695614295,-1.6487199672138937,-0.15738202110149305,-0.12039993832246931
15193,0.062,0.21600000000000003,0.10923755809999999,34649.0,0.478657393,0.521342607,0.00438483073,0,28,085,high school diploma,Christian Generic,0.10366821600000001,0.27446679500000004,0.5731478529999999,White,White,-0.2023731480006575,-0.911656294268987,-0.9586827681490233,-0.16214200990273642,-0.11750108410598228
25139,0.071,0.23600000000000002,0.1030731481,59710.0,0.47579969899999996,0.524200301,0.00421018255,0,28,087,college,Christian Generic,0.09887791000000001,0.266889968,0.5861497230000001,White,White,-0.12272833147338653,-0.5959085335455818,-0.4998273251511329,-0.18088658963569418,-0.08341055852009484
45048,0.046,0.131,0.06584506317000001,103465.0,0.478364664,0.521635336,0.0043539361100000005,0,28,089,bachelor or higher,Christian Generic,0.079679119,0.27765911099999996,0.59530276,White,White,-0.009467071711762809,1.6144084696436074,1.8016414315672615,-0.12198924330421958,-0.0747719729549635
11443,0.07400000000000001,0.304,0.1228152677,25563.0,0.483472206,0.516527794,0.0044763916600000005,0,28,091,high school diploma,Christian Generic,0.115479404,0.260923992,0.568908188,White,White,-0.22725136226796766,-1.1340604514687669,-0.9385113706166237,-0.17248015142328416,-0.12306688420163737
14698,0.073,0.215,0.08557245519000001,35916.0,0.493568326,0.506431674,0.00409232654,1,28,093,high school diploma,Christian Generic,0.10145895900000002,0.250640383,0.597087648,White,White,-0.1950992837855013,-0.7929305062619668,-0.97113641358207,-0.1303564723831762,-0.12150150292473438
15781,0.075,0.201,0.07184828316,35827.0,0.48145253600000004,0.518547464,0.00440477852,0,28,095,high school diploma,Christian Generic,0.12013286,0.246629637,0.569709994,White,White,-0.19559486574301743,-0.854443031524657,-0.9623662407418963,-0.11406377046217132,-0.12399451755091323
4162,0.079,0.247,0.1181004949,10152.0,0.47941292399999996,0.520587076,0.00409968479,0,28,097,high school diploma,Christian Generic,0.132190702,0.24753743100000003,0.5589046499999999,White,White,-0.27892936987656985,-1.2551839051110263,-1.2807235148402032,-0.20926616042926863,-0.13645959068180744
10438,0.062,0.207,0.08398525003,29463.0,0.47680141200000004,0.523198588,0.0035427485299999993,0,28,099,high school diploma,Christian Generic,0.097851542,0.31252757700000006,0.543834639,White,White,-0.218976742228924,-0.7820169937153605,-0.9076403622192121,-0.1664706982359923,-0.12179138834638309
8594,0.062,0.223,0.08157631717000001,21747.0,0.47767508200000003,0.5223249179999999,0.00395180944,0,28,101,college,Christian Generic,0.11242930100000001,0.291718398,0.5462822460000001,White,White,-0.2444144845127846,-0.9887949852234088,-0.5096499187321275,-0.16438215839404094,-0.13019806557419547
5538,0.099,0.313,0.16678818809999998,11043.0,0.478764828,0.521235172,0.00501494159,1,28,103,less than high school diploma,Christian Generic,0.109571674,0.276736394,0.5613510829999999,Black,Black,-0.2769470420465053,-1.5224822843775276,-1.7527342170983544,-0.1329155218265684,-0.142373253283441
